entidad_id,fecha,muestreo,peso_fresco,peso_seco,porcentaje_humedad,zona_id,zona,variedad_id,variedad,tratamiento_entrada_id,tratamiento_entrada,tratamiento_salida_id,tratamiento_salida,ue,_merge
96,2024-05-24,M2,0.5295000000000001,0.2682,50.65155807365438,1,viluco,1,santina,3,zn+u+eth,16,"dormex 1,5% + 2% ac. mineral",7,both
97,2024-05-24,M2,0.306,0.1504,49.15032679738562,1,viluco,1,santina,0,control,6,control,8,both
98,2024-05-24,M2,0.648,0.3193,49.2746913580247,1,viluco,1,santina,1,fsh,16,"dormex 1,5% + 2% ac. mineral",9,both
99,2024-05-24,M2,0.4539999999999999,0.2261,49.80176211453745,1,viluco,1,santina,5,aba,6,control,10,both
100,2024-05-24,M2,0.428,0.2172,50.74766355140187,1,viluco,1,santina,2,zn+eth,12,erger 5% + nca 4%,11,both
101,2024-05-24,M2,0.2476,0.1251,50.525040387722136,1,viluco,1,santina,4,ethephon,15,dormex 2% + break,12,both
102,2024-05-24,M2,0.6707,0.3175,47.33860146115998,1,viluco,1,santina,3,zn+u+eth,16,"dormex 1,5% + 2% ac. mineral",13,both
103,2024-05-24,M2,0.3589,0.1767999999999999,49.26163276678741,1,viluco,1,santina,5,aba,12,erger 5% + nca 4%,14,both
104,2024-05-24,M2,0.3429999999999999,0.1677,48.89212827988339,1,viluco,1,santina,1,fsh,15,dormex 2% + break,15,both
105,2024-05-24,M2,0.5835,0.2901,49.717223650385606,1,viluco,1,santina,0,control,6,control,16,both
106,2024-05-24,M2,0.2881,0.1425,49.46199236376257,1,viluco,1,santina,4,ethephon,6,control,17,both
107,2024-05-24,M2,0.2763,0.1351,48.89612739775608,1,viluco,1,santina,2,zn+eth,16,"dormex 1,5% + 2% ac. mineral",18,both
108,2024-05-24,M2,0.2397999999999999,0.1167,48.665554628857386,1,viluco,1,santina,4,ethephon,12,erger 5% + nca 4%,19,both
109,2024-05-24,M2,0.3921,0.1895,48.3295077786279,1,viluco,1,santina,1,fsh,15,dormex 2% + break,20,both
110,2024-05-24,M2,0.3075,0.1484999999999999,48.29268292682927,1,viluco,1,santina,3,zn+u+eth,13,,21,both
111,2024-05-24,M2,0.4749,0.2234,47.04148241735101,1,viluco,1,santina,2,zn+eth,13,,22,both
