duracion_latencia_dias,absorbancia,concentracion_almidon_mg_por_g,peso_yema_mg,peso_fresco,peso_seco,porcentaje_humedad,zona_id,variedad_id,tratamiento_entrada_id,tratamiento_salida_id,chill_25_uta,chill_50_uta,chill_75_uta,chill_100_uta,chill_25_simple,chill_50_simple,chill_75_simple,chill_100_simple
116.0,1.0193,21.86802325594831,200.2,0.349,0.1802,51.63323782234958,1,1,0,6,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
114.0,1.1254,24.139023711361137,201.7,0.3158,0.1631,51.64661177960735,1,1,1,16,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
114.0,0.9524,20.33218875179574,200.1,0.3225999999999999,0.1643,50.92994420334781,1,1,5,6,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
116.0,0.9986,21.3257541197689,200.8,0.2166,0.1161,53.60110803324101,1,1,2,12,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
108.0,0.6701,13.784598279730153,200.4,0.1484,0.0766999999999999,51.68463611859836,1,1,4,15,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
120.0,,,,0.345,0.1778999999999999,51.56521739130434,1,1,3,16,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
114.0,,,,0.3303,0.1688,51.10505600968816,1,1,5,12,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
110.0,,,,0.1614,0.0778,48.20322180916976,1,1,1,15,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
113.0,,,,0.2356,0.1187,50.38200339558574,1,1,0,6,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
116.0,,,,0.2241,0.1073,47.88041053101294,1,1,4,6,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
120.0,,,,0.2674,0.1371,51.2715033657442,1,1,2,16,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
116.0,1.0771,23.226925746009712,200.0,0.372,0.1909,51.31720430107527,1,1,4,12,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
105.0,1.0854,23.41892204487624,200.0,0.0963,0.0494999999999999,51.4018691588785,1,1,1,15,382.0,800.5,1158.0,1356.0,306.0,679.0,954.0,1184.0
127.0,,,,1.1205999999999998,0.5059,45.14545779046939,4,2,2,15,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
125.0,,,,0.9307,0.4096,44.00988503277103,4,2,1,16,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
119.0,,,,0.7973000000000001,0.3743,46.94594255612693,4,2,0,12,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
131.0,,,,0.8056999999999999,0.363,45.0539903189773,4,2,3,6,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
117.0,,,,0.7103999999999999,0.3176,44.70720720720722,4,2,4,12,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
126.0,,,,0.6173000000000001,0.2804,45.42361898590636,4,2,5,15,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
129.0,,,,0.7657,0.3402,44.42993339427975,4,2,3,16,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
128.0,,,,0.5606,0.2575999999999999,45.95076703531929,4,2,0,6,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
121.0,,,,0.7591,0.3396,44.73718877618232,4,2,1,16,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
136.0,,,,0.8748,0.3974999999999999,45.43895747599451,4,2,5,6,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
131.0,,,,0.7988999999999999,0.3519,44.04806609087496,4,2,2,12,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
132.0,,,,0.5887,0.2574999999999999,43.74044504841175,4,2,4,15,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
129.0,,,,0.4503,0.2075,46.08039085054408,4,2,3,16,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
120.0,,,,0.5823,0.2684,46.093079168813325,4,2,5,12,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
102.0,,,,0.6441,0.3016999999999999,46.84055270920664,4,2,1,15,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
123.0,,,,0.4023,0.1791999999999999,44.54387273179219,4,2,0,6,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
117.0,,,,0.428,0.1944,45.42056074766355,4,2,4,6,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
115.0,,,,0.4852000000000001,0.2179,44.90931574608409,4,2,2,16,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
104.0,,,,0.4597,0.2117,46.05177289536655,4,2,4,12,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
96.0,,,,0.3532999999999999,0.1668999999999999,47.24030568921596,4,2,1,15,450.0,923.0,1459.0,1799.5,329.0,813.0,1245.0,1496.0
132.0,,,,0.4992,0.235,47.07532051282052,5,0,2,15,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
131.0,,,,0.246,0.1175999999999999,47.80487804878048,5,0,1,16,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
124.0,,,,0.3782999999999999,0.1773,46.86756542426646,5,0,0,12,450.0,932.5,1468.5,1825.0,329.0,852.0,1284.0,1571.0
