zona,variedad,modelo_heat,horas_calor_promedio,horas_calor_std,horas_calor_min,horas_calor_max,n_observaciones_heat,zona_variedad_heat,modelo_cold,horas_frio_promedio,horas_frio_std,horas_frio_min,horas_frio_max,n_observaciones_cold,zona_variedad_cold
viluco,santina,hgc,5217.184533333333,577.9880799070676,4783.078333333333,6215.879833333333,5,viluco | santina,chill_hours,547.8,60.931929232546054,463.0,620.0,5.0,viluco | santina
viluco,santina,hgc,5217.184533333333,577.9880799070676,4783.078333333333,6215.879833333333,5,viluco | santina,utah_cu,714.7,46.72338814769322,659.5,769.0,5.0,viluco | santina
viluco,santina,hgc,5217.184533333333,577.9880799070676,4783.078333333333,6215.879833333333,5,viluco | santina,utah_positivo,814.9,49.18383880910478,757.0,873.0,5.0,viluco | santina
wapri,kordia,heat_hours,93.4,1.3416407864998734,91.0,94.0,5,wapri | kordia,chill_hours,630.0,77.30135833217939,538.0,748.0,5.0,wapri | kordia
wapri,kordia,heat_hours,93.4,1.3416407864998734,91.0,94.0,5,wapri | kordia,utah_cu,772.1,72.43393541704054,691.5,872.0,5.0,wapri | kordia
wapri,kordia,heat_hours,93.4,1.3416407864998734,91.0,94.0,5,wapri | kordia,utah_positivo,813.3,73.90585227165707,731.5,915.0,5.0,wapri | kordia
wapri,kordia,hgc,3617.7538,70.08209816196529,3519.223,3717.4395,5,wapri | kordia,chill_hours,630.0,77.30135833217939,538.0,748.0,5.0,wapri | kordia
wapri,kordia,hgc,3617.7538,70.08209816196529,3519.223,3717.4395,5,wapri | kordia,utah_cu,772.1,72.43393541704054,691.5,872.0,5.0,wapri | kordia
wapri,kordia,hgc,3617.7538,70.08209816196529,3519.223,3717.4395,5,wapri | kordia,utah_positivo,813.3,73.90585227165707,731.5,915.0,5.0,wapri | kordia
wapri,regina,heat_hours,101.0,0.0,101.0,101.0,5,wapri | regina,chill_hours,795.8,23.97290136800301,760.0,825.0,5.0,wapri | regina
wapri,regina,heat_hours,101.0,0.0,101.0,101.0,5,wapri | regina,utah_cu,852.0,19.51922129594312,821.0,874.5,5.0,wapri | regina
wapri,regina,heat_hours,101.0,0.0,101.0,101.0,5,wapri | regina,utah_positivo,892.4,19.907285098676827,861.0,915.5,5.0,wapri | regina
wapri,regina,hgc,4814.672833333333,14.35033100663532,4804.1928333333335,4830.392833333333,5,wapri | regina,chill_hours,795.8,23.97290136800301,760.0,825.0,5.0,wapri | regina
wapri,regina,hgc,4814.672833333333,14.35033100663532,4804.1928333333335,4830.392833333333,5,wapri | regina,utah_cu,852.0,19.51922129594312,821.0,874.5,5.0,wapri | regina
wapri,regina,hgc,4814.672833333333,14.35033100663532,4804.1928333333335,4830.392833333333,5,wapri | regina,utah_positivo,892.4,19.907285098676827,861.0,915.5,5.0,wapri | regina
